date,usd_to_yen_opening_price,FM08'FXERD02,FM08'FXERD03,usd_to_yen_closing_price,FM08'FXERD05,FM08'FXERD06,FM08'FXERD07,eur_to_usd_opening_price,FM08'FXERD32,FM08'FXERD33,eur_to_usd_closing_price,FM08'FXERD35,FM08'FXERD36,FM08'FXERD39,FM08'FXERD37,FM08'FXERD38,FM08'FXERD11,FM08'FXERD12,FM08'FXERD13,FM08'FXERD14,FM08'FXERD21,FM08'FXERD22
系列名称,東京市場　ドル・円　スポット　9時時点,東京市場　ドル・円　スポット　最高値,東京市場　ドル・円　スポット　最安値,東京市場　ドル・円　スポット　17時時点,東京市場　ドル・円　スポット　中心相場,東京市場　ドル・円　スポット出来高,東京市場　ドル・円　スワップ出来高,東京市場　ユーロ・ドル　スポット　9時時点,東京市場　ユーロ・ドル　スポット　最高値,東京市場　ユーロ・ドル　スポット　最安値,東京市場　ユーロ・ドル　スポット　17時時点,東京市場　ユーロ・ドル　スポット出来高,東京市場　ユーロ・ドル　スワップ出来高,円インデックス,（更新停止）東京市場　ドル・円　オプション出来高（2012年1月31日まで）,（更新停止）東京市場　ユーロ・ドル　オプション出来高（2012年1月31日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド1ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド3ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド1ヵ月　年率（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド3ヵ月　年率（2010年2月26日まで）,（更新停止）東京市場　ドル・円　通貨オプション　ボラティリティ1ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　通貨オプション　ボラティリティ3ヵ月（2010年2月26日まで）
20211210,113.44,113.62,113.34,113.59,113.44,4210,31308,1.1294,1.1303,1.1287,1.1294,1492,6293,97.73,,,,,,,,
20211211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211213,113.52,113.59,113.35,113.55,113.55,2832,51089,1.1311,1.1319,1.1284,1.1291,1037,7274,97.74,,,,,,,,
20211214,113.58,113.74,113.48,113.72,113.65,4809,37006,1.1283,1.1284,1.1271,1.1271,931,6304,97.69,,,,,,,,
20211215,113.75,113.8,113.63,113.74,113.78,4100,38542,1.1258,1.1276,1.1254,1.1265,1023,4129,97.33,,,,,,,,
20211216,114.15,114.25,114.04,114.12,114.13,5170,58319,1.1291,1.1312,1.1282,1.1307,1627,4309,97.57,,,,,,,,
20211217,113.67,113.87,113.45,113.66,113.85,5466,45290,1.1334,1.1349,1.1318,1.1318,1277,5756,97.82,,,,,,,,
20211218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211220,113.52,113.71,113.35,113.46,113.59,4357,38189,1.1243,1.1259,1.1235,1.1255,900,5860,97.78,,,,,,,,
20211221,113.67,113.77,113.57,113.66,113.65,3926,37113,1.1278,1.1294,1.1274,1.1288,764,4760,97.27,,,,,,,,
20211222,114,114.2,113.95,114.15,114.16,5904,38765,1.1288,1.1294,1.1265,1.1268,946,5357,97.11,,,,,,,,
20211223,114.14,114.28,114.08,114.26,114.21,4107,43911,1.1327,1.1342,1.1322,1.1329,1822,6122,96.76,,,,,,,,
20211224,114.47,114.51,114.3,114.36,114.49,2967,34489,1.1324,1.1335,1.1321,1.1332,375,3121,96.73,,,,,,,,
20211225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211227,114.35,114.49,114.33,114.47,114.4,4203,28843,1.1324,1.1329,1.1314,1.133,543,2802,96.33,,,,,,,,
20211228,114.79,114.96,114.77,114.85,114.95,4013,34718,1.133,1.1331,1.1316,1.1318,604,4450,96.4,,,,,,,,
20211229,114.77,114.93,114.75,114.89,114.85,3175,32618,1.1314,1.1313,1.1298,1.1301,661,8111,96.24,,,,,,,,
20211230,114.95,115.2,114.95,115.12,115,3869,34675,1.136,1.136,1.1315,1.1318,922,12760,96.2,,,,,,,,
20211231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220104,115.34,115.81,115.3,115.74,115.42,5462,49320,1.1303,1.1309,1.1285,1.1291,770,10890,95.41,,,,,,,,
20220105,116.17,116.24,115.91,116.04,116.2,4782,47527,1.1283,1.1302,1.1277,1.13,632,3759,95.42,,,,,,,,
20220106,116.13,116.18,115.79,115.88,116.04,4466,37323,1.1311,1.132,1.1285,1.129,1310,5290,95.85,,,,,,,,
20220107,115.87,116.05,115.84,115.9,115.89,3670,48890,1.1296,1.1305,1.129,1.1305,638,4872,95.88,,,,,,,,
20220108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220111,115.28,115.38,115.13,115.26,115.32,4113,35381,1.1331,1.1344,1.1328,1.1342,695,5769,95.9,,,,,,,,
20220112,115.34,115.43,115.23,115.4,115.33,3841,45778,1.1367,1.1378,1.1356,1.1359,1454,4626,96.18,,,,,,,,
20220113,114.68,114.7,114.39,114.41,114.66,5153,37566,1.144,1.1467,1.1436,1.1465,1769,4426,96.56,,,,,,,,
20220114,114.12,114.22,113.64,113.8,114,7161,22657,1.1456,1.1482,1.1452,1.1466,945,3585,96.64,,,,,,,,
20220115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220117,114.31,114.54,114.18,114.41,114.47,3232,27199,1.1412,1.1427,1.1401,1.1425,691,4175,96.24,,,,,,,,
20220118,114.57,115.06,114.46,114.87,114.54,6342,51299,1.1411,1.142,1.1385,1.1398,1353,5076,96.47,,,,,,,,
20220119,114.56,114.79,114.21,114.43,114.7,5139,47088,1.133,1.1342,1.132,1.1331,1262,5062,96.57,,,,,,,,
20220120,114.35,114.55,114.03,114.4,114.28,5264,50895,1.1343,1.1366,1.1341,1.136,977,3234,96.79,,,,,,,,
20220121,113.99,114.15,113.63,113.87,113.83,5366,40857,1.1314,1.1336,1.1301,1.1329,1446,4213,97.13,,,,,,,,
20220122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220124,113.79,113.98,113.66,113.76,113.83,3849,42361,1.1341,1.1344,1.1316,1.1323,949,5326,96.99,,,,,,,,
20220125,114.01,114.1,113.67,113.89,113.98,5207,42467,1.1324,1.1328,1.1303,1.1303,912,8330,97.05,,,,,,,,
20220126,113.9,113.98,113.78,113.98,113.81,3052,38849,1.1304,1.131,1.129,1.1292,859,4941,96.56,,,,,,,,
20220127,114.73,114.8,114.48,114.78,114.67,6679,35401,1.1241,1.1243,1.1195,1.1198,2938,11362,96.4,,,,,,,,
20220128,115.35,115.67,115.28,115.65,115.44,5559,40306,1.1144,1.1156,1.1126,1.1135,1389,5969,96.51,,,,,,,,
20220129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220131,115.27,115.59,115.22,115.43,115.43,4890,45875,1.1153,1.117,1.1141,1.1171,1040,8580,96.38,,,,,,,,
20220201,115.13,115.19,114.89,114.94,115.15,4144,57939,1.123,1.1268,1.1221,1.1266,1538,11014,96.59,,,,,,,,
20220202,114.74,114.8,114.59,114.63,114.7,2739,39431,1.1274,1.1283,1.1268,1.1281,862,4957,96.72,,,,,,,,
20220203,114.39,114.6,114.33,114.59,114.45,3004,52877,1.13,1.1308,1.1289,1.1298,1107,5681,96.12,,,,,,,,
20220204,114.97,115.12,114.82,115.11,115,3978,50114,1.1435,1.1472,1.1432,1.1468,2803,6643,95.91,,,,,,,,
20220205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220207,115.23,115.37,115.14,115.26,115.23,5050,30544,1.1455,1.1466,1.1425,1.1433,1217,5945,96.02,,,,,,,,
20220208,115.07,115.54,115.06,115.49,115.29,4959,44042,1.1442,1.1448,1.1397,1.1399,1694,10896,95.69,,,,,,,,
20220209,115.54,115.69,115.32,115.41,115.53,3593,46227,1.1421,1.1432,1.1403,1.1409,1078,8107,95.59,,,,,,,,
20220210,115.6,115.71,115.48,115.6,115.59,6461,49457,1.1422,1.1431,1.1414,1.143,993,15102,95.21,,,,,,,,
20220211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220214,115.59,115.59,115.29,115.41,115.4,4470,42848,1.1365,1.1369,1.1337,1.1338,1438,12975,95.77,,,,,,,,
20220215,115.54,115.56,115.26,115.35,115.42,4391,46559,1.1307,1.1327,1.1304,1.1313,1533,10421,95.49,,,,,,,,
20220216,115.65,115.74,115.53,115.65,115.69,3250,50668,1.1355,1.1378,1.1345,1.1376,1077,11269,95.47,,,,,,,,
20220217,115.4,115.53,115.08,115.3,115.45,5677,36557,1.1374,1.1385,1.1323,1.1376,2377,7564,95.99,,,,,,,,
20220218,114.86,115.28,114.79,115.12,114.94,5079,22844,1.1364,1.1373,1.1359,1.1371,1375,3897,95.94,,,,,,,,
20220219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220221,114.96,115.12,114.88,114.93,115.05,3259,19629,1.1317,1.1378,1.1314,1.1374,1465,4043,96.25,,,,,,,,
20220222,114.61,114.8,114.5,114.74,114.7,5054,39529,1.131,1.132,1.1288,1.1297,1562,10045,95.9,,,,,,,,
20220223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220224,114.9,115.11,114.41,114.62,114.94,8100,56719,1.1306,1.1306,1.1209,1.1246,3915,3905,96.04,,,,,,,,
20220225,115.55,115.62,115.15,115.28,115.54,6227,65316,1.1191,1.1228,1.1187,1.121,1568,14674,95.72,,,,,,,,
20220226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220228,115.59,115.79,115.25,115.5,115.55,6780,67542,1.118,1.12,1.1127,1.119,3252,10541,96.45,,,,,,,,
20220301,115.09,115.29,114.98,115.04,115.25,6222,70600,1.1214,1.123,1.1191,1.123,1459,8084,96.77,,,,,,,,
20220302,114.85,115.18,114.79,115.16,115,5275,48680,1.1132,1.1134,1.1084,1.1094,1853,6362,96.21,,,,,,,,
20220303,115.52,115.73,115.45,115.73,115.6,4135,51331,1.1113,1.1119,1.1091,1.1098,1254,5159,96.41,,,,,,,,
20220304,115.49,115.56,115.25,115.46,115.38,6690,41997,1.1066,1.1066,1.1008,1.1013,3957,7524,97.38,,,,,,,,
20220305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220307,114.95,115.12,114.83,115.02,114.92,4731,46308,1.0874,1.093,1.0823,1.0871,3059,7986,97.43,,,,,,,,
20220308,115.37,115.53,115.28,115.45,115.47,4914,47097,1.0867,1.0885,1.0849,1.0861,1921,7597,97.05,,,,,,,,
20220309,115.73,115.92,115.69,115.89,115.87,4077,51727,1.0898,1.0928,1.089,1.0917,2077,3755,96.52,,,,,,,,
20220310,115.92,116.2,115.85,115.93,116,4513,41790,1.1074,1.1073,1.1042,1.1065,2062,4219,96.43,,,,,,,,
20220311,116.19,116.8,116.12,116.72,116.3,7119,36482,1.1013,1.1018,1.0981,1.0985,1398,3959,95.78,,,,,,,,
20220312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220314,117.55,117.88,117.35,117.73,117.58,4717,34220,1.0933,1.094,1.0901,1.0933,1179,4161,95.17,,,,,,,,
20220315,118.22,118.45,117.85,117.98,118.23,6259,42484,1.0943,1.1019,1.0931,1.1005,1422,3838,94.96,,,,,,,,
20220316,118.32,118.43,118.17,118.38,118.39,2955,34515,1.0968,1.0981,1.0953,1.096,1096,4681,94.15,,,,,,,,
20220317,118.87,119.02,118.6,118.67,118.97,5692,36387,1.1022,1.1052,1.1011,1.1045,1378,6378,94.04,,,,,,,,
20220318,118.5,119,118.48,118.86,118.68,5790,59298,1.1099,1.1118,1.1074,1.1079,1411,12921,93.72,,,,,,,,
20220319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220322,119.59,120.5,119.44,120.48,120,8619,40175,1.1017,1.1026,1.0961,1.0984,1789,4800,92.53,,,,,,,,
20220323,121.35,121.41,120.8,121.07,121.19,6223,42805,1.103,1.1042,1.1015,1.1018,804,6748,92.29,,,,,,,,
20220324,121.13,121.74,120.96,121.63,121.24,5770,47134,1.1006,1.1012,1.0976,1.0979,946,7624,91.4,,,,,,,,
20220325,122.35,122.43,121.18,121.74,121.82,8018,47493,1.1009,1.1037,1.1003,1.1023,1066,4739,91.62,,,,,,,,
20220326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220328,122.27,124.02,122.15,123.93,122.22,8508,35717,1.0982,1.0984,1.0945,1.0952,1630,3283,90.33,,,,,,,,
20220329,123.6,124.31,123.12,123.58,124.2,10257,57093,1.0992,1.1018,1.0969,1.1,1426,4231,90.68,,,,,,,,
20220330,123.12,123.2,121.33,121.87,122.5,8839,37735,1.1091,1.1134,1.1088,1.1129,1342,6681,91.18,,,,,,,,
20220331,122.03,122.45,121.35,121.64,122.4,12283,58572,1.1161,1.1184,1.1148,1.1151,1690,9953,91.36,,,,,,,,
20220401,121.75,122.73,121.7,122.64,122.2,8512,61823,1.1074,1.1075,1.1043,1.1053,1134,9158,90.97,,,,,,,,
20220402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220404,122.63,122.8,122.27,122.66,122.43,4049,37479,1.1046,1.1053,1.1029,1.1032,434,7953,90.77,,,,,,,,
20220405,122.8,122.98,122.38,122.9,122.55,4169,51042,1.0975,1.0987,1.0962,1.0981,757,5819,90.33,,,,,,,,
20220406,123.66,124.05,123.55,123.89,124,5992,42731,1.0906,1.0907,1.0875,1.0896,1311,8310,90.24,,,,,,,,
20220407,123.73,123.92,123.47,123.76,123.64,3876,45583,1.0898,1.0933,1.0896,1.0898,1325,7792,90.17,,,,,,,,
20220408,124.1,124.23,123.68,124.05,124,5787,40660,1.0865,1.0878,1.085,1.0867,1046,8493,89.97,,,,,,,,
20220409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220411,124.4,125.43,124.19,125.25,125,7182,40681,1.0885,1.091,1.0875,1.091,1407,5251,89.35,,,,,,,,
20220412,125.49,125.75,125.12,125.53,125.53,7563,52813,1.0878,1.0887,1.0854,1.0871,890,5778,89.36,,,,,,,,
20220413,125.42,126.31,125.36,126.06,125.6,6099,41853,1.0826,1.0842,1.0812,1.0839,1049,7781,89.04,,,,,,,,
20220414,125.37,125.68,125.08,125.34,125.3,5394,40912,1.0896,1.092,1.0883,1.0909,1079,4501,89.05,,,,,,,,
20220415,126.19,126.7,125.9,126.47,126.4,3167,38816,1.0821,1.082,1.0796,1.0811,534,324,88.66,,,,,,,,
20220416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220418,126.62,126.79,126.25,126.64,126.64,4128,47227,1.0815,1.082,1.0788,1.0791,762,69,88.36,,,,,,,,
20220419,127.15,128.32,126.99,128.07,127.34,8224,46748,1.078,1.0801,1.0762,1.0802,925,4585,87.23,,,,,,,,
20220420,129.31,129.43,128.07,128.66,129.4,11083,39767,1.0795,1.0823,1.0785,1.0809,1520,7759,87.92,,,,,,,,
20220421,128,128.64,127.83,128.03,128.28,5789,46248,1.0849,1.0935,1.0824,1.0928,1871,8086,87.81,,,,,,,,
20220422,128.43,128.69,127.74,128.07,128.61,6779,42087,1.0835,1.0851,1.0804,1.0807,1183,7258,88.15,,,,,,,,
20220423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220425,128.61,128.87,127.99,128.2,128.78,7566,44788,1.081,1.0811,1.0708,1.0739,2174,9339,88.84,,,,,,,,
20220426,127.78,128.23,127.35,127.88,127.6,7607,44730,1.0713,1.0738,1.0675,1.0677,2305,12397,89.72,,,,,,,,
20220427,127.26,128.1,126.96,127.99,127.62,8023,51346,1.0644,1.0655,1.0588,1.0624,2774,9979,89.03,,,,,,,,
20220428,128.44,130.68,128.36,130.6,129.9,14561,38975,1.0554,1.0562,1.0481,1.0555,4039,13498,87.83,,,,,,,,
20220429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220502,130,130.47,129.62,130.11,130.07,6043,32149,1.0537,1.0563,1.051,1.0534,618,12786,88.21,,,,,,,,
20220503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220506,130.34,130.8,130.1,130.52,130.5,6417,54011,1.054,1.055,1.0485,1.052,2107,8497,88.15,,,,,,,,
20220507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220509,130.73,131.34,130.64,131.21,130.8,5231,44283,1.0533,1.0545,1.0496,1.0512,1493,9369,88.8,,,,,,,,
20220510,130.38,130.57,129.8,130.36,130.35,6116,55860,1.0564,1.0584,1.0554,1.0557,988,7973,88.75,,,,,,,,
20220511,130.37,130.49,129.9,129.97,130.4,4844,54952,1.0529,1.0559,1.0526,1.0551,1075,7298,89.01,,,,,,,,
20220512,129.85,130.05,128.6,128.84,129.74,7404,48310,1.0512,1.0528,1.0445,1.046,1569,4825,90.7,,,,,,,,
20220513,128.6,129.36,128.35,128.81,128.9,6503,72139,1.0379,1.0418,1.0374,1.0415,1938,6736,89.94,,,,,,,,
20220514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220516,129.41,129.67,128.7,129.36,128.95,3360,41444,1.04,1.0424,1.0391,1.041,710,10372,89.91,,,,,,,,
20220517,128.93,129.44,128.83,129.4,129.34,4263,56515,1.044,1.0475,1.0433,1.0464,1657,5654,89.23,,,,,,,,
20220518,129.43,129.53,128.95,129.33,129.31,4326,41579,1.0549,1.0563,1.0515,1.0517,1062,8297,90.34,,,,,,,,
20220519,127.93,128.93,127.9,128.23,128.4,6304,41001,1.0474,1.0505,1.0466,1.0493,1908,7586,90.11,,,,,,,,
20220520,127.85,128.21,127.54,127.93,127.76,4933,55151,1.058,1.0592,1.0557,1.0577,678,6097,90,,,,,,,,
20220521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220523,127.9,128.04,127.16,127.59,127.76,3279,38149,1.057,1.0614,1.0559,1.0601,1009,9069,89.43,,,,,,,,
20220524,127.81,128.08,127.25,127.28,127.87,5790,32369,1.0683,1.0734,1.0662,1.0731,1094,10990,90.13,,,,,,,,
20220525,126.74,127.29,126.67,127.12,126.97,6146,37684,1.0733,1.0737,1.0683,1.0685,962,6030,90.11,,,,,,,,
20220526,127.14,127.57,126.56,126.6,127.48,6146,46262,1.0688,1.0707,1.0665,1.0689,1181,11002,90.39,,,,,,,,
20220527,127.1,127.2,126.68,127.14,127.01,4434,37406,1.0733,1.0764,1.0729,1.0736,1063,6211,90.08,,,,,,,,
20220528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220530,127.27,127.39,126.86,127.36,127.02,2890,21784,1.073,1.077,1.0728,1.0744,656,4757,89.36,,,,,,,,
20220531,127.79,128.33,127.53,127.76,128.2,7388,42342,1.0774,1.0776,1.073,1.0737,895,11550,88.78,,,,,,,,
20220601,128.75,129.54,128.65,129.4,128.92,6026,54978,1.0734,1.0737,1.0706,1.0715,657,7276,88.05,,,,,,,,
20220602,130.14,130.23,129.78,129.89,130.04,5473,37468,1.0651,1.0691,1.0646,1.0687,703,10796,87.93,,,,,,,,
20220603,129.95,130.05,129.7,129.89,129.82,5780,34086,1.0751,1.0764,1.0746,1.0757,916,6770,87.36,,,,,,,,
20220604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220606,130.74,130.99,130.44,130.77,130.75,3853,35731,1.0724,1.074,1.071,1.0743,403,4233,86.71,,,,,,,,
20220607,132.19,133,131.9,132.77,132.23,5891,52451,1.0691,1.0698,1.0666,1.0688,718,6191,86.33,,,,,,,,
20220608,132.81,133.63,132.6,133.58,132.9,6474,51490,1.0698,1.0706,1.0678,1.0689,920,9534,85.35,,,,,,,,
20220609,134.44,134.55,133.4,133.48,134.44,6096,50407,1.0717,1.0732,1.0703,1.0703,1113,11130,85.51,,,,,,,,
20220610,134.37,134.48,133.37,133.61,134.2,6616,61360,1.062,1.0642,1.0611,1.0626,1204,3923,85.86,,,,,,,,
20220611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220613,134.78,135.2,134.44,134.6,135,5886,45210,1.0491,1.0519,1.0465,1.0467,1115,8069,86.46,,,,,,,,
